location,avg_Allergy
0,21.87
1,54.03
2,75.93
3,126.01
4,48.18
5,20.11
6,131.6
7,51.0
8,86.55
9,19.99
10,21.29
11,8.48
12,81.73
13,34.31
14,27.31
15,40.26
16,111.0
17,31.0
18,40.0
19,19.0
20,100.0
21,214.53
22,57.77
23,37.63
24,41.31
25,23.99
26,41.82
27,123.41
28,29.91
29,41.0
30,41.0
31,101.89
32,36.59
33,36.63
